,id,cws_id,image_url,name,age_months,gender,breed,primary_color,description,details,playful,active,curious,talkative,quiet,loving,sweet,likes_held,friendly,shy,spicy,loves_attention,age_group,energy_level,attention_need,personality,fosterer,good_first_cat,good_with_other_cats,good_with_other_dogs,good_with_kids,preferred_employment,preferred_home_ownership,good_with_allergies,require_fee,created_at,updated_at
0,bd8c1b25-bb4b-4d0d-ac37-3d6799d885f9,1681491353-164,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491353-164.jpg,Michael Ming,36,male,domestic short hair,tabby,"shy, spicy","feb 2022
one night late 2021, ming’s ex-owner put him in a carrier, took him out to a nearby carpark far enough from his home and cruelly dumped him near a bush.
ming was so frightened and confused but slowly crawled underneath the bush to hide.
he was shaking with fear that he couldn’t even stand up nor accept any food given to him.
in the night, when no one was around he crept into a nearby carpark where he hid there for 8 days before he was found.
by then he was so skinny and starved and gorged the food offered to him.
ming is around 3-4 years old, has been sterilised, deflea-ed.
he is meek and docile and like all cats, will snarl in defence if he doesn’t know you but he will neither scratch nor bite and once he warms up to you, he can even chat with you.
he loves his food and is a joy to feed.
if you are a genuine adopter and agreeable to the following, please whatsapp june at 8898 2607.
• primary adopter must be financially stable as keeping a cat is a lifetime commitment with financial responsibilities.
• no adoptions on behalf please. please get the primary adopter to contact directly
• cat must be kept strictly
indoors
• installation of meshing and/or appropriate grilles is a must for windows/gates. no magnetic mesh.
• good quality wet & dry food must be fed to the cat
• cat must be given the necessary vet care as and when needed (eg annual vaccination & check-ups).
o adoption fees to cover her medical cost which. adoption fee & signing of adoption contract applies
o allowing a pre-adoption home visit and periodic home visits by fosterer when the cat is adopted.
o home trial of 1 month before we can formalize the adoption process. adoption contract has to be signed",False,False,False,False,False,False,False,False,False,True,True,False,adult,chill,independent,spicy,8,neutral,neutral,neutral,neutral,student,parents,no allergies,yes,2023-05-15T02:51:33.203Z,2023-05-15T02:51:33.203Z
1,c822a63a-ad76-4302-af0a-ef17f4ae3680,1681491768-348,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491768-348.jpg,Muffin,18,male,domestic short hair,others,"loving, sweet, likes to be held","cat available for adoption



muffin
male, 1-2 years old sterilized


this kitty had a rough early life and confined to a cage with two other cats outside a home for months. due to complaints, he has been rescued and now in foster care where he has the freedom to move and interact with people and other cats.



muffin is a little timid with new people and will run if approached. but he can still be carried. when he’s comfortable around you, he’s quite a sweetie. he is looking for a kind home with family who can understand and prepare to give him the time to settle in.



if you’re interested in muffin, please contact 8587 8053.
cws adoption guidelines (incl meshing) apply.",False,False,False,False,False,True,True,True,False,False,False,False,juvenile,chill,neutral,sweet,6,neutral,neutral,neutral,neutral,working full time,owned,no allergies,no preference,2023-05-15T02:51:44.549Z,2023-05-15T02:51:44.549Z
2,feee6a5f-d978-4337-9ba5-dfa1c9faeb46,1681491178-86,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491178-86.jpg,Chubby and Snowy looking for a new home,108,male,domestic short hair,black,loving,"name: chubby and snowy
age: 9 years old
breed: european shorthair (both are from france)
color: black (chubby), greyish white (snowy)
both are well behaved and affectionate.
sterilised and with no known health issues.
likes to eat dry food, fruits and vegetables.
looking for a new home urgently as owner is unable to accommodate them anymore due to family reasons.
please whatsapp or call bryan at +65 9839 8973 for more details.",False,False,False,False,False,True,False,False,False,False,False,False,senior,chill,neutral,sweet,5,neutral,yes,neutral,neutral,working part time,rental with landlord’s consent,no allergies,yes,2023-05-15T02:51:25.990Z,2023-05-15T02:51:25.990Z
3,993c537d-c4e3-4343-854a-b36068506d8e,1681491761-345,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491761-345.jpg,Tomoe,48,female,domestic short hair,tabby,"loving, sweet","tomoe

age: about 4 years old

gender: female sterilized

breed: local domestic
tomoe is tame, gentle and bubbly tabby girl who truly deserves the best in life.
 she enjoys hanging out with people, likes to be stroked and immediately wants to interact with just anyone.
 she would do wonderfully in a home as an only or first cat.
tomoe was abandoned near a mrt station and used to cross a very busy road.
 the cat feeder was worried for
 her safety.
 tomoe was rescued and whisked off to a foster home.
if you’re keen to meet this sweetie, please whatsapp to 8587 8053.",False,False,False,False,False,True,True,False,False,False,False,False,adult,chill,neutral,sweet,3,neutral,no,neutral,neutral,working full time,owned,no preference,yes,2023-05-15T02:51:44.221Z,2023-05-15T02:51:44.221Z
4,eb11adfa-ba0a-4b83-8989-b78c9ecc1a21,1681491518-238,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491518-238.jpg,Samantha,48,female,domestic short hair,white,"talkative, loving, sweet","she literally fell into fosterer ‘s hands by chance,
 as rescuer took pity on her because she was found alone at a very high traffic area in cbd. she is very street smart, independent and behaves very much like an old granny, who loves to protest and growl whenever another cat passes by. however , she doesn’t chase or wrestle with other cats.
 and her growling keeps them at bay. all she does is just sit and watch the world go round. preferably ,a single cat household.
 likes to sit at your feet or sleep beside you. kneads on velvety material. affectionate soul. meshing of home, giving good food , vet care when necessary,
 is a must. only message me, no calls please. ♥ will get back to you asap. samantha is rarely shy with strangers,
 and she snores when she sleeps
  fiv felv negative,
 snipped,
 vaxxed, and she has a soft meow when asking for food or attention.
 a must have!",False,False,False,True,False,True,True,False,False,False,False,False,adult,chill,loves attention,sweet,4,neutral,no,neutral,neutral,working full time,no preference,no allergies,no preference,2023-05-15T02:51:14.022Z,2023-05-15T02:51:14.022Z
5,d3837eed-78ef-446d-9572-598dd6f64ab9,1681491511-235,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491511-235.jpg,"4 mths old tabby twins, Jack and Jill looking for homes!",3,female,domestic short hair,tabby,no description available,"4 months ago, their mother, sara was rescued from an industrial site where an abandoned, unsterilised colony was found. life in the industrial park was not a bed of roses, the constant need to keep an eye open for heavy vehicles and not having enough food proved to be too much for some of the abandoned cats there. daily, we would get reports on dead cats or dead kittens.
rescuers worked round the clock to try and control the population and sara was one of the pregnant mummies we took in and managed to find a home for her to give birth safely.
jack and jill are lucky, they will never have to go a day without food or sleep on cold, hard floors again. they never knew the hard life of stray cats and we intend for them to go to a good home once they are weaned off, where they will continue leading a pampered life.
so if you have room in your heart for 2 or 3 more and you meet the criteria below:
1) financially sound to take care of them for up to 20 years. 

2) feed a good quality wet and dry food.

 3) meshing of windows/ doors 

4) do not allow them to roam. 

5) sterilise at 6 months. 

6) adoption fees applies.
text me at 91377168.
thank you!",False,False,False,False,False,False,False,False,False,False,False,False,kitten,chill,neutral,neutral,4,neutral,yes,neutral,neutral,working full time,no preference,no allergies,no preference,2023-05-15T02:51:13.668Z,2023-05-15T02:51:13.668Z
6,93c90dec-7f79-435d-bf3c-d9516cea96e7,1681491176-85,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491176-85.jpg,Lola for adoption,96,female,domestic short hair,black,"playful, active","hi, i am looking for a new home for lola, a lovely black cat that i rehomed 7½ years ago to an expat family. they are relocating back to australia soon and unable to bring lola along due to difficult circumstances.
flwg is from lola’s family :
“lola is about eight years old, black with a full tail. she is playful and energetic, but also loves to snuggle on the couch. lola also loves to find hidey holes and can often be found sleeping behind curtains or under a bed. she has never met a box she didn’t want to get in. she has lived in an apartment almost all her life, so she doesn’t roam, but she does like to spend time outside on the balcony. she prefers to be an only cat, but could possibly bond with another pet, if they allowed her to be dominant. she is afraid of small children, and will hide but can possibly get used to them over time.”
pls drop me a note at julesnsp@yahoo.com.sg to register your interest. thank u",True,True,False,False,False,False,False,False,False,False,False,False,senior,high energy,neutral,neutral,1,neutral,no,neutral,no,working full time,owned,no allergies,yes,2023-05-15T02:51:25.904Z,2023-05-15T02:51:25.904Z
7,0fa727bc-1be3-4034-98b8-707cfcf8ee9e,1681491310-145,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491310-145.jpg,Timmy is Looking for a Home,24,male,domestic short hair,tabby,"loving, likes to be held","timmy is an insanely adorable and affectionate silver tabby with beautiful markings. he was found at a carpark and we suspect that he was thrown out by his original owners.
one day, we found him with an open wound and brought him to the vet. during his hospitalisation, one of the vet techs fell in love with him, and he had a short 3-day home trial with her and her family. it was then that we realised how suitable timmy is in a home and how good he is with kids. he was purring and kneading instantly, and allowed the kids to carry him in any way without retaliating. however, timmy did not get along well with the two cats in the home and he was returned to us.
we had released him back to the streets as our original plan was to tnr him. however, just a week later, we found him with wounds again as he had fought with a free-roaming cat from another neighbourhood who had wandered to the carpark (please keep your cats fully indoors at all times). as the carpark is not safe for him, we are currently fostering timmy but we are not able to keep him permanently. while his wounds have fully healed, timmy is still looking for a furever home or a fosterer who is able to provide him with all the love and attention he desires.
details about timmy:

male, sterilised
around 2 years old
felv, fiv negative
litter-trained
on wet food diet
great with kids
would need time and slow integration for multiple-cats households",False,False,False,False,False,True,False,True,False,False,False,False,juvenile,chill,neutral,sweet,9,neutral,no,neutral,neutral,not working,owned,no allergies,yes,2023-05-15T02:51:31.273Z,2023-05-15T02:51:31.273Z
8,d7652c30-e013-4307-af50-26e8e6e67ebd,1681491772-350,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491772-350.jpg,Suzie – Sweet and Snuggly,60,female,domestic short hair,calico/tortie,"loving, friendly","5-year-old sweet and snuggly susie is one of the most gentle and polite cats i have ever seen. she will wait patiently for the caretaker to prepare her food and when her meal is served, gives the caretaker headbutts to say thank you.
suzie is very friendly, loves chin rubs and human company. she gets along with other cats in the cattery. perfect for first time and experienced cat owners. she will make a lovely companion in any home!
suzie has been sterilised, vaccinate, felv negative and fiv positive. she may have fiv but with good quality food and support care, fiv cats can also live a healthy and long life just like any normal cats.
please contact dayne at 90465538 if you like to meet and interact with sweet suzie!
** strict screening of adopters does apply. conditions include:

1) adopters must allow for house visits to make sure that the house is catproofed

2) windows, balcony (if any) and gate have to be fully meshed to ensure suzie’s safety. prefer no magnetic meshing.

3) keep suzie strictly indoors only

4) $150 adoption fee (to defray part of her medical and food expenses) applies

5) signing of adoption contract

6) filling up an adoption questionnaire",False,False,False,False,False,True,False,False,True,False,False,False,adult,chill,neutral,sweet,4,yes,no,neutral,neutral,working full time,no preference,no allergies,no preference,2023-05-15T02:51:44.742Z,2023-05-15T02:51:44.742Z
9,0bd435c3-14fb-43e2-b52a-230b0bc281bd,1681491873-395,https://petfinder6000images.s3.ap-southeast-1.amazonaws.com/cropped_1681491873-395.jpg,Tabby Kittens,2,unknown,domestic short hair,tabby,friendly,"two little kittens were abandoned in a new residential area.  a cardboard box with one packet of kitten food was found near them.  thankfully, they were rescued and now safe in a foster home.  these precious kittens are tame and exceptionally cute.  one male and one female.
if you’re interested to adopt one or two kittens, please contact 9620 9976.
p.s.  cws adoption guidelines apply.

meshing of windows/gate and home visit are required.  there will be contractual agreement to have the kittens spayed/neutered at the approximate age of 6 months.

if you’re a student, please ask your parent to contact us.",False,False,False,False,False,False,False,False,True,False,False,False,kitten,chill,neutral,sweet,5,neutral,yes,neutral,neutral,working part time,rental with landlord’s consent,no allergies,yes,2023-05-15T02:51:48.603Z,2023-05-15T02:51:48.603Z
