,id,username,gender,primary_color,age_group,energy_level,attention_need,personality,is_first_cat,has_other_cats,good_with_other_dogs,good_with_kids,employment,home_ownership,has_allergies,agree_to_fee,created_at,updated_at,age_no_preference,age_kitten,age_adult,age_juvenile,age_senior,primary_color_no_preference,primary_color_ginger,primary_color_black,primary_color_white,primary_color_calico_tortie,primary_color_others,primary_color_tabby
0,8b1aa3c3-162f-4717-a9f5-d895ec52f2a4,Chai Chai,no preference,['no preference'],['no preference'],no preference,no preference,anything is nice,True,False,True,True,working full time,self-owned,False,True,2023-05-17 09:04:07.762000+00:00,2023-05-17 09:04:07.762000+00:00,True,False,False,False,False,True,False,False,False,False,False,False
1,9b6bed1a-6d10-40eb-b320-7d12ff653ff9,bob the builder,no preference,['ginger'],['kitten'],chill,independent,anything is nice,True,False,False,True,working full time,staying with parents,True,True,2023-05-24 10:40:33.910000+00:00,2023-05-24 10:40:33.910000+00:00,False,True,False,False,False,False,True,False,False,False,False,False
2,bfd0401f-ab32-4de6-af44-745c940b5f64,Robertaa,male,['no preference'],['no preference'],chill,independent,anything is nice,True,False,True,False,working full time,self-owned,False,False,2023-06-02 04:53:24.202000+00:00,2023-06-02 04:53:24.202000+00:00,True,False,False,False,False,True,False,False,False,False,False,False
3,c0d37cae-c1fc-4aca-9135-0e1d4f222a99,Raiken01,no preference,['no preference'],['no preference'],chill,independent,anything is nice,True,False,False,False,working full time,staying with parents,False,False,2023-05-18 06:51:55.017000+00:00,2023-05-18 06:51:55.017000+00:00,True,False,False,False,False,True,False,False,False,False,False,False
4,4e663992-2176-4a8f-a879-b802ef8d88bb,JeanneTan,no preference,['no preference'],['adult'],chill,no preference,some spice,True,True,False,False,working full time,self-owned,False,True,2023-05-18 05:50:12.410000+00:00,2023-05-18 05:50:12.410000+00:00,False,False,True,False,False,True,False,False,False,False,False,False
5,eaf7de2b-dde2-4eca-9172-a720201a3c90,Nrokhade ,no preference,['no preference'],['no preference'],no preference,no preference,anything is nice,True,False,False,False,working full time,rented with landlord consent,False,False,2023-06-01 12:37:37.252000+00:00,2023-06-01 12:37:37.252000+00:00,True,False,False,False,False,True,False,False,False,False,False,False
6,762d7d01-7887-4150-83ca-5c28512ac812,hitman76,no preference,['no preference'],['no preference'],no preference,no preference,anything is nice,True,False,False,True,student,rented with landlord consent,False,True,2023-06-01 12:33:59.509000+00:00,2023-06-01 12:33:59.509000+00:00,True,False,False,False,False,True,False,False,False,False,False,False
7,029f1e2a-d68b-4801-869f-f422e925ae3d,oinkboink,no preference,['no preference'],['kitten'],no preference,no preference,anything is nice,True,False,False,False,student,staying with parents,False,False,2023-05-24 13:59:56.030000+00:00,2023-05-24 13:59:56.030000+00:00,False,True,False,False,False,True,False,False,False,False,False,False
8,f3ff9f65-68ff-4333-a442-27d58f75d5ee,neoyiwee,no preference,['no preference'],['no preference'],chill,an attention seeker,all sweet,True,False,False,False,student,staying with parents,False,True,2023-06-09 09:29:26.623000+00:00,2023-06-09 09:29:26.623000+00:00,True,False,False,False,False,True,False,False,False,False,False,False
9,e3d44c57-27ef-4c7c-8746-19af91f88b8c,Gg.com.sg,no preference,['no preference'],"['kitten', 'juvenile']",chill,independent,all sweet,True,False,False,True,student,staying with parents,False,True,2023-05-19 00:24:54.669000+00:00,2023-05-19 00:24:54.669000+00:00,False,True,False,True,False,True,False,False,False,False,False,False
10,9340ece1-13e0-4926-8eaf-47c01b053cc3,Michiematch,no preference,['no preference'],"['juvenile', 'adult']",chill,an attention seeker,all sweet,True,False,False,True,working full time,self-owned,False,True,2023-05-19 01:48:05.223000+00:00,2023-05-19 01:48:05.223000+00:00,False,False,True,True,False,True,False,False,False,False,False,False
11,50dc6027-86b8-4213-8b41-8a720a984c7a,Nostromo,no preference,"['black', 'white']",['kitten'],chill,no preference,anything is nice,True,False,False,False,student,staying with parents,False,False,2023-06-09 09:47:16.738000+00:00,2023-06-09 09:47:16.738000+00:00,False,True,False,False,False,False,False,True,True,False,False,False
12,9753bff1-0f69-4cde-8a3a-9c4c7cabc8b8,garywongwy,female,"['calico/tortie', 'ginger', 'others', 'tabby', 'white']",['juvenile'],chill,independent,all sweet,False,True,False,False,working full time,rented with landlord consent,False,False,2023-05-19 02:29:06.214000+00:00,2023-05-19 02:29:06.214000+00:00,False,False,False,True,False,False,True,False,True,True,True,True
13,7ce256fc-bdb9-45a4-9aca-18878df99959,ollieisthebest,no preference,['no preference'],['no preference'],chill,independent,anything is nice,False,True,False,False,working full time,staying with parents,False,True,2023-05-17 10:02:25.373000+00:00,2023-05-17 10:02:25.373000+00:00,True,False,False,False,False,True,False,False,False,False,False,False
14,9a6362ed-37a7-4b62-b40a-26ba3d8a368e,Ros123456,no preference,['no preference'],['no preference'],chill,an attention seeker,all sweet,True,False,False,True,not working,self-owned,True,True,2023-05-19 01:20:34.245000+00:00,2023-05-19 01:20:34.245000+00:00,True,False,False,False,False,True,False,False,False,False,False,False
15,0153cd06-7ebb-41cc-b304-7b4e42c6b965,SMUEmail,no preference,['no preference'],"['kitten', 'juvenile']",chill,independent,all sweet,True,False,False,False,student,self-owned,False,True,2023-05-18 16:59:12.166000+00:00,2023-05-18 16:59:12.166000+00:00,False,True,False,True,False,True,False,False,False,False,False,False
16,ab1d9f81-bb49-41bc-b7bd-7d4bad79adb0,xiaomaos3,no preference,['no preference'],['no preference'],high energy,an attention seeker,anything is nice,False,True,False,False,working full time,self-owned,False,True,2023-06-10 04:13:01.059000+00:00,2023-06-10 04:13:01.059000+00:00,True,False,False,False,False,True,False,False,False,False,False,False
17,dda37ac7-ee1d-435c-9726-2c524a5fe8da,koguweee,no preference,['tabby'],['kitten'],high energy,an attention seeker,all sweet,True,True,True,False,student,staying with parents,False,True,2023-05-24 10:40:14.258000+00:00,2023-05-24 10:40:14.258000+00:00,False,True,False,False,False,False,False,False,False,False,False,True
18,4dce9765-64e6-4431-8286-615e97732b08,zanellelee,no preference,['no preference'],"['kitten', 'juvenile']",chill,no preference,all sweet,True,False,True,True,working full time,staying with parents,False,True,2023-05-19 02:27:00.315000+00:00,2023-05-19 02:27:00.315000+00:00,False,True,False,True,False,True,False,False,False,False,False,False
19,2bfc8c7f-e9ee-45de-8cab-4e02fc466434,NinaYushida,female,['no preference'],['juvenile'],chill,no preference,all sweet,True,True,False,True,working full time,self-owned,False,True,2023-05-17 09:14:46.035000+00:00,2023-05-17 09:14:46.035000+00:00,False,False,False,True,False,True,False,False,False,False,False,False
20,aaaff806-2304-4dbb-a89d-8b418867b9da,leongpeilin,male,['white'],"['juvenile', 'kitten']",chill,an attention seeker,all sweet,True,False,False,False,working full time,self-owned,False,True,2023-05-17 08:43:04.623000+00:00,2023-05-17 08:43:04.623000+00:00,False,True,False,True,False,False,False,False,True,False,False,False
21,43c4ff06-20cc-489d-83c4-5074ad36efb5,Nikkicjq,no preference,"['white', 'tabby']",['kitten'],chill,no preference,anything is nice,True,False,True,True,student,staying with parents,True,True,2023-06-07 14:54:38.498000+00:00,2023-06-07 14:54:38.498000+00:00,False,True,False,False,False,False,False,False,True,False,False,True
22,670c923b-34c4-4f0b-a147-600eaac8b793,Winteriscoming,male,['tabby'],['kitten'],chill,independent,all sweet,True,False,True,True,working full time,self-owned,False,True,2023-06-06 02:23:53.111000+00:00,2023-06-06 02:23:53.111000+00:00,False,True,False,False,False,False,False,False,False,False,False,True
23,4d938571-55a7-432b-b047-329bccb0fbf2,1darren1,no preference,['no preference'],['no preference'],no preference,no preference,anything is nice,True,False,False,False,working full time,staying with parents,False,True,2023-05-19 08:18:44.055000+00:00,2023-05-19 08:18:44.055000+00:00,True,False,False,False,False,True,False,False,False,False,False,False
24,aac4a553-aecc-46b8-a848-83fc6fb070b7,meowmeow,no preference,['no preference'],['no preference'],no preference,no preference,anything is nice,True,False,False,False,working full time,self-owned,False,True,2023-06-02 14:16:11.373000+00:00,2023-06-02 14:16:11.373000+00:00,True,False,False,False,False,True,False,False,False,False,False,False
